pr_url,is_this_proj_first,number_of_created_pr_in_this_proj_before_pr,closed_at,body,title,commit_add_line_sum,commit_delete_line_sum,commit_total_line_sum,commit_file_change,commit_add_line_max,commit_delete_line_max,commit_total_line_max,commit_add_line_min,commit_delete_line_min,commit_total_line_min,login,before_pr_project_commits_in_month,issue_created_in_project_by_pr_author,issue_created_in_project_by_pr_author_in_month,issue_joined_in_project_by_pr_author,issue_joined_in_project_by_pr_author_in_month,before_pr_user_followers,before_pr_user_commits_proj,before_pr_project_issues,before_pr_project_issues_in_month,before_pr_project_issues_comment,before_pr_project_issues_comment_in_month,merge,github_merge,comment_merge,commit_merge,pr_commit_count,before_pr_project_prs,before_pr_project_prs_in_month,before_pr_project_commits,before_pr_user_commits,contain_test_file,contain_doc_file,before_pr_user_issues,bot_user,whether_pr_created_before_commit,commit_message,before_pr_merge_cnt,before_pr_closed_cnt,before_pr_merge_ratio,before_pr_project_comments_in_prs,code_patch_diff,before_pr_user_projects,number_of_merged_pr_in_this_proj_before_pr,number_of_closed_pr_in_this_proj_before_pr,ratio_of_merged_pr_in_this_proj_before_pr,before_pr_project_comments_in_prs_in_month,before_pr_user_pulls,check_pr_desc_mean,check_pr_desc_medium,pr_desc_len
https://api.github.com/repos/godotengine/godot/pulls/19097,0,307,2018-05-23T16:16:05Z,Fix #19096<nl><nl>![screenshot_20180522_165425](https://user-images.githubusercontent.com/8281454/40349316-439fd53c-5de1-11e8-9b5e-631ff6b07fc8.png),Make filename clipped on Import dock,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,volzhs,792,121,5,874,27,13.0,36,10920,454,49557,1733,1,1,0,1,1.0,7069,295,17097,759,0.0,0.0,148,0,False,Make filename clipped on Import dock,5914,6903,0.8567289584238736,17941,,5,290,307,0.9446254071661238,1022,4,False,False,2
https://api.github.com/repos/mrdoob/three.js/pulls/14949,0,3,2018-09-22T23:04:23Z,some new translation sectors,Translation zh,5813.0,6292.0,12105.0,140.0,4179.0,4235.0,4297.0,0.0,0.0,4.0,nicholas-yangding,470,0,0,0,0,0.0,1,8158,60,41373,372,1,1,0,1,30.0,6659,129,25532,7,0.0,208.0,4,0,False,"translate zh:intro/How to update things,Matrix transformations,Animation system;LineBasicMaterial;LineDashedMaterial;material;material fix;meshBasicMaterial;meshDepthMaterial;MeshLambertMaterial;MeshNormalMaterial;MeshPhongMaterial;MeshPhysicalMaterial;MeshStandardMaterial;MeshToonMaterial;PointsMaterial;RawShaderMaterial;ShadowMaterial;SpriteMaterial;ShaderMaterial;review;feat(AnimationMIxer):;doc(AnimationObjectGroup, AnimationUtils, KeyframeTrack): 中文文档;translate CCDIKSolver;可能需要改一下路由en;translate MMDAnimationHelper;doc(PropertyBinding, PropertyMixer): 中文文档;translate MMDPhysics;translate Test-with-NPM;Revert examples translate<nl><nl>This reverts commit dd1b19c377d70278f7bb4cfa45e7a4c41b142d44.;doc(WebLRender,WebGLRenderTarget,WebGLRenderTargetCube): 中文文档;ImmediateRenderObject;CubicInterpolant",4962,6482,0.7655044739278001,25106,,6,3,3,1.0,559,0,False,False,4
https://api.github.com/repos/rails/rails/pulls/12748,1,0,2013-11-11T17:32:19Z,none,"Fixes #11079, prevent the counter cache from being decremented twice when destroying a record on a has_many :through association",17.0,1.0,18.0,3.0,17.0,1.0,18.0,17.0,1.0,18.0,dm1try,686,0,0,0,0,14.0,9,4731,126,27223,708,1,1,0,1,1.0,8005,206,49605,52,0.0,0.0,13,0,True,Prevent the counter cache from being decremented twice<nl><nl>when destroying a record on a has_many :through association.<nl>:destroy method has own counter_cache callbacks.,5253,7596,0.6915481832543444,29382,,11,0,0,0.0,821,10,False,False,1
https://api.github.com/repos/spring-projects/spring-framework/pulls/1319,0,3,2017-02-09T21:40:40Z,Provides the ability to embed an HTTP verb inside a hidden form field (like Thymeleaf's th:method operator).,Implement reactive HiddenHttpMethodFilter,216.0,0.0,216.0,2.0,216.0,0.0,216.0,216.0,0.0,216.0,gregturn,268,0,0,0,0,427.0,432,14892,112,41387,287,1,0,1,0,1.0,1244,32,16964,10264,0.0,0.0,239,0,False,Implement reactive HiddenHttpMethodFilter<nl><nl>Provides the ability to embed an HTTP verb inside a hidden form field (like Thymeleaf's th:method operator).,356,1164,0.3058419243986254,2267,,161,1,3,0.3333333333333333,63,13,False,False,17
https://api.github.com/repos/pytorch/pytorch/pulls/22770,0,30,2019-07-20T21:06:10Z,Stack from [ghstack](https://github.com/ezyang/ghstack):<nl>* **#22770 Added test for both native and quantized relu**<nl>* #22769 const tensor<nl>* #22768 V1: Initial commit<nl>,Added test for both native and quantized relu,6.0,5.0,11.0,1.0,6.0,5.0,11.0,6.0,5.0,11.0,z-a-f,605,0,0,0,0,0.0,0,7570,300,29016,1342,0,0,0,0,1.0,13512,724,19670,0,1.0,0.0,0,0,False,Added test for both native and quantized relu,10738,13215,0.8125614831630723,29010,"    return Y_q_ref<nl><nl><nl>class TestQuantizedOps(TestCase):<nl>    """"""Computes the output shape given pooling parameters.""""""<nl>    def _pool_output_shape(self, input_size, kernel_size, padding, stride,",5,17,23,0.7391304347826086,1917,0,False,True,19
https://api.github.com/repos/elastic/elasticsearch/pulls/41627,0,1231,2019-04-29T01:04:09Z,This commit bumps the bundled JDK to version 12.0.1. Note that we had to add a new pattern here as Oracle has changed the source of the builds. This commit will be backported to 6.7 in a different form to bump the bundled JDK in the Docker images too.,Bump the bundled JDK to 12.0.1,12.0,3.0,15.0,2.0,12.0,3.0,15.0,12.0,3.0,15.0,jasontedor,1682,140,5,3324,34,105.0,275,18888,274,69630,1099,1,1,0,0,1.0,21743,714,80132,13293,0.0,0.0,544,0,False,Bump the bundled JDK to 12.0.1<nl><nl>This commit bumps the bundled JDK to version 12.0.1. Note that we had to<nl>add a new pattern here as Oracle has changed the source of the<nl>builds. This commit will be backported to 6.7 in a different form to<nl>bump the bundled JDK in the Docker images too.,16852,21587,0.780655023856951,69118,,47,1155,1226,0.9420880913539968,1805,48,False,True,49
https://api.github.com/repos/angular/angular/pulls/25042,0,354,2018-08-02T00:05:27Z,none,feat(docs-infra): support sending Google Analytics events,11.0,0.0,11.0,2.0,11.0,0.0,11.0,11.0,0.0,11.0,petebacondarwin,327,130,3,694,6,1037.0,433,15181,264,64348,1273,0,0,0,0,1.0,9526,145,14435,18930,0.0,0.0,421,0,False,feat(docs-infra): support sending Google Analytics events,3583,9158,0.3912426293950644,30237,,132,175,345,0.5072463768115942,1014,78,False,False,1
https://api.github.com/repos/rails/rails/pulls/29732,0,76,2017-07-21T18:36:31Z,Follow-up to https://github.com/rails/rails/pull/29655<nl><nl>Extends `Style/FrozenStringLiteralComment` Rubocop rule to `activerecord/`.<nl><nl>ref https://github.com/rails/rails/pull/29728<nl><nl>@matthewd @rafaelfranca ,Use frozen-string-literal in ActiveRecord,1363.0,11.0,1374.0,300.0,1363.0,11.0,1374.0,1363.0,11.0,1374.0,kirs,633,12,1,30,4,408.0,339,10240,116,55850,571,1,1,1,1,1.0,19326,222,77073,2651,0.0,0.0,215,0,False,Use frozen-string-literal in ActiveRecord,13022,18600,0.7001075268817204,72616,,211,55,70,0.7857142857142857,632,69,False,False,11
https://api.github.com/repos/neovim/neovim/pulls/9819,0,8,2019-03-31T00:15:42Z,As suggested by https://github.com/neovim/neovim/pull/9616#issuecomment-478290878,[RFC] rename MenuPopupChanged to CompleteChanged,28.0,28.0,56.0,5.0,28.0,28.0,56.0,28.0,28.0,56.0,chemzqm,177,24,1,42,0,339.0,432,4131,59,25600,241,1,1,0,0,1.0,5195,99,12798,9098,1.0,0.0,308,0,False,autocmd: rename MenuPopupChanged to CompleteChanged,3193,5109,0.6249755333724799,26067,,264,3,8,0.375,296,5,False,False,4
https://api.github.com/repos/nvm-sh/nvm/pulls/1726,1,0,2018-02-18T06:01:01Z,Fix for #1708,[Docs] Add reminder that NVM_DIR should not contain trailing slash,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,chrisse27,9,1,1,3,3,1.0,5,908,16,5307,64,1,1,0,1,1.0,647,3,1694,16,0.0,0.0,12,0,False,"[Docs] Add reminder that NVM_DIR should not contain trailing slash, fix for #1708",450,632,0.7120253164556962,2036,,11,0,0,0.0,7,0,False,False,3
